iteration,area,error,flag
0,64,0.48046875,normal
20,62,0.5625,normal
40,62,0.484375,normal
60,61,0.4765625,normal
80,60,0.4765625,normal
100,60,0.5703125,normal
120,60,0.5703125,normal
140,60,0.546875,normal
160,60,0.546875,normal
180,60,0.5625,normal
200,60,0.5625,normal
220,60,0.5625,normal
240,60,0.5625,normal
260,60,0.5625,normal
280,60,0.5625,normal
300,60,0.5625,normal
320,60,0.5625,normal
340,60,0.5625,normal
360,60,0.515625,normal
380,59,0.5390625,normal
400,59,0.5390625,normal
420,58,0.5390625,normal
440,58,0.5390625,normal
460,58,0.5390625,normal
480,58,0.5390625,normal
500,57,0.5390625,normal
520,57,0.5625,normal
540,57,0.5625,normal
560,57,0.5390625,normal
580,57,0.5390625,normal
600,57,0.5390625,normal
620,57,0.5390625,normal
640,57,0.5390625,normal
660,57,0.578125,normal
680,57,0.578125,normal
700,57,0.578125,normal
720,57,0.578125,normal
740,57,0.578125,normal
760,57,0.578125,normal
780,57,0.578125,normal
800,57,0.578125,normal
820,57,0.578125,normal
840,57,0.578125,normal
860,57,0.578125,normal
880,57,0.5390625,normal
900,57,0.5390625,normal
920,57,0.5390625,normal
940,57,0.5390625,normal
960,57,0.5390625,normal
980,57,0.5390625,normal
1000,57,0.5390625,normal
1020,57,0.5390625,normal
1040,57,0.546875,normal
1060,57,0.546875,normal
1080,56,0.578125,normal
1100,56,0.578125,normal
1120,56,0.578125,normal
1140,56,0.578125,normal
1160,56,0.578125,normal
1180,56,0.578125,normal
1200,56,0.578125,normal
1220,56,0.578125,normal
1240,56,0.578125,normal
1260,56,0.578125,normal
1280,56,0.578125,normal
1300,56,0.578125,normal
1320,56,0.578125,normal
1340,56,0.578125,normal
1360,56,0.578125,normal
1380,56,0.578125,normal
1400,56,0.578125,normal
1420,56,0.578125,normal
1440,56,0.578125,normal
1460,56,0.578125,normal
1480,56,0.578125,normal
1500,55,0.578125,normal
1520,55,0.578125,normal
1540,55,0.578125,normal
1560,55,0.578125,normal
1580,55,0.578125,normal
1600,55,0.578125,normal
1620,55,0.578125,normal
1640,55,0.578125,normal
1660,55,0.578125,normal
1680,55,0.578125,normal
1700,55,0.578125,normal
1720,55,0.578125,normal
1740,55,0.578125,normal
1760,55,0.578125,normal
1780,55,0.578125,normal
1800,55,0.578125,normal
1820,55,0.578125,normal
1840,55,0.578125,normal
1860,55,0.578125,normal
1880,55,0.578125,normal
1900,55,0.578125,normal
1920,55,0.578125,normal
1940,55,0.578125,normal
1960,55,0.578125,normal
1980,55,0.578125,normal
1999,55,0.578125,normal
