iteration,area,error,flag
0,63,29.0,pretrain
15,56,48.5703125,normal
35,54,32.828125,normal
55,56,27.7734375,normal
75,55,27.265625,normal
95,55,27.1640625,normal
115,53,25.6640625,normal
135,54,25.578125,normal
155,51,21.28125,normal
175,53,19.265625,normal
195,53,19.0,normal
215,55,18.9296875,normal
235,55,18.9296875,normal
255,54,18.4296875,normal
275,55,18.4296875,normal
295,53,18.4296875,normal
315,56,16.1328125,normal
335,56,16.1171875,normal
355,56,16.1171875,normal
375,53,15.9609375,normal
395,53,15.9609375,normal
415,52,15.9375,normal
435,54,15.640625,normal
455,54,15.640625,normal
475,56,15.59375,normal
495,56,15.59375,normal
515,54,15.578125,normal
535,56,15.578125,normal
555,54,15.578125,normal
575,54,15.578125,normal
595,56,15.578125,normal
615,54,15.578125,normal
635,56,15.578125,normal
655,56,15.578125,normal
675,56,15.578125,normal
695,56,15.5234375,normal
715,54,15.5234375,normal
735,55,15.5234375,normal
755,55,15.5234375,normal
775,54,15.5234375,normal
795,52,15.5234375,normal
815,55,15.5234375,normal
835,56,15.5234375,normal
855,56,15.5234375,normal
875,56,15.5234375,normal
895,55,15.5234375,normal
915,53,15.5234375,normal
935,55,15.5234375,normal
955,55,15.5234375,normal
975,55,15.5234375,normal
995,55,15.5234375,normal
1015,52,15.5078125,normal
1035,51,15.5078125,normal
1055,52,15.5078125,normal
1075,51,15.5078125,normal
1095,51,15.5078125,normal
1115,48,15.5078125,normal
1135,49,15.5078125,normal
1155,51,15.5078125,normal
1175,56,15.5078125,normal
1195,52,15.5078125,normal
1215,53,15.5078125,normal
1235,53,15.5078125,normal
1255,55,15.5078125,normal
1275,53,15.5078125,normal
1295,54,15.5078125,normal
1315,54,15.5078125,normal
1335,53,15.5078125,normal
1355,54,15.5078125,normal
1375,54,15.5078125,normal
1395,53,15.5078125,normal
1415,55,15.5078125,normal
1435,55,15.5078125,normal
1455,56,15.5078125,normal
1475,52,15.5078125,normal
1495,52,15.5078125,normal
1515,53,15.5078125,normal
1535,54,15.5078125,normal
1555,53,15.5078125,normal
1575,54,15.5078125,normal
1595,53,15.5078125,normal
1615,52,15.5078125,normal
1635,54,15.5078125,normal
1655,52,15.5078125,normal
1675,50,15.5078125,normal
1695,51,15.5078125,normal
1715,50,15.5078125,normal
1735,50,15.5078125,normal
1755,52,15.5078125,normal
1775,56,15.5078125,normal
1795,53,15.5078125,normal
1815,55,15.5078125,normal
1835,54,15.5078125,normal
1855,54,15.5078125,normal
1875,52,15.5078125,normal
1895,53,15.5078125,normal
1915,53,15.5078125,normal
1935,55,15.5078125,normal
1955,50,15.5078125,normal
1975,52,15.5078125,normal
1995,51,15.5078125,normal
2014,51,15.5078125,normal
