log_file,src_file,criterion,population,generations,mut_raate,tau,pretrain,finetune,best_area,best_error,run_log
logs_f/error_56/log_20250329_154920/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,28,18.6875,logs_f/error_56/log_20250329_154920/log.csv
logs_f/error_56/log_20250329_162219/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,27.5703125,logs_f/error_56/log_20250329_162219/log.csv
logs_f/error_56/log_20250329_160441/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,30,18.171875,logs_f/error_56/log_20250329_160441/log.csv
logs_f/error_56/log_20250329_155908/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,23,34.8515625,logs_f/error_56/log_20250329_155908/log.csv
logs_f/error_56/log_20250329_152754/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,28,13.6171875,logs_f/error_56/log_20250329_152754/log.csv
logs_f/error_56/log_20250329_162029/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,29,16.6796875,logs_f/error_56/log_20250329_162029/log.csv
logs_f/error_56/log_20250329_160804/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,22,30.53125,logs_f/error_56/log_20250329_160804/log.csv
logs_f/error_56/log_20250329_154400/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,28,11.8359375,logs_f/error_56/log_20250329_154400/log.csv
logs_f/error_56/log_20250329_160624/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,23,32.6953125,logs_f/error_56/log_20250329_160624/log.csv
logs_f/error_56/log_20250329_161325/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,28,19.6328125,logs_f/error_56/log_20250329_161325/log.csv
logs_f/error_56/log_20250329_161508/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,25,24.671875,logs_f/error_56/log_20250329_161508/log.csv
logs_f/error_56/log_20250329_153354/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,24,22.5390625,logs_f/error_56/log_20250329_153354/log.csv
logs_f/error_56/log_20250329_160303/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,20.6796875,logs_f/error_56/log_20250329_160303/log.csv
logs_f/error_56/log_20250329_161834/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,24,12.9453125,logs_f/error_56/log_20250329_161834/log.csv
logs_f/error_56/log_20250329_155341/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,13.9609375,logs_f/error_56/log_20250329_155341/log.csv
logs_f/error_56/log_20250329_153743/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,23,22.2421875,logs_f/error_56/log_20250329_153743/log.csv
logs_f/error_56/log_20250329_152936/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,25,34.0234375,logs_f/error_56/log_20250329_152936/log.csv
logs_f/error_56/log_20250329_161651/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,24,21.640625,logs_f/error_56/log_20250329_161651/log.csv
logs_f/error_56/log_20250329_160055/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,12.515625,logs_f/error_56/log_20250329_160055/log.csv
logs_f/error_56/log_20250329_161139/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,23,35.40625,logs_f/error_56/log_20250329_161139/log.csv
logs_f/error_56/log_20250329_154553/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,24,13.3046875,logs_f/error_56/log_20250329_154553/log.csv
logs_f/error_56/log_20250329_153948/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,22,24.265625,logs_f/error_56/log_20250329_153948/log.csv
logs_f/error_56/log_20250329_160956/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,18.8359375,logs_f/error_56/log_20250329_160956/log.csv
logs_f/error_56/log_20250329_154732/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,28,22.1640625,logs_f/error_56/log_20250329_154732/log.csv
logs_f/error_56/log_20250329_154146/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,30,11.3515625,logs_f/error_56/log_20250329_154146/log.csv
logs_f/error_56/log_20250329_155143/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,12.953125,logs_f/error_56/log_20250329_155143/log.csv
logs_f/error_56/log_20250329_155720/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,25,18.8515625,logs_f/error_56/log_20250329_155720/log.csv
logs_f/error_56/log_20250329_153545/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,28,18.7734375,logs_f/error_56/log_20250329_153545/log.csv
logs_f/error_56/log_20250329_153146/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,13.8984375,logs_f/error_56/log_20250329_153146/log.csv
logs_f/error_56/log_20250329_155529/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,56.0,5000,1000,26,14.25,logs_f/error_56/log_20250329_155529/log.csv
logs_f/area_20.00/log_20250329_151608/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,19,16.640625,logs_f/area_20.00/log_20250329_151608/log.csv
logs_f/area_20.00/log_20250329_151933/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,15.5,logs_f/area_20.00/log_20250329_151933/log.csv
logs_f/area_20.00/log_20250329_143830/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,15,16.0625,logs_f/area_20.00/log_20250329_143830/log.csv
logs_f/area_20.00/log_20250329_144157/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,15.453125,logs_f/area_20.00/log_20250329_144157/log.csv
logs_f/area_20.00/log_20250329_145221/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,16.2265625,logs_f/area_20.00/log_20250329_145221/log.csv
logs_f/area_20.00/log_20250329_143648/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,16.1953125,logs_f/area_20.00/log_20250329_143648/log.csv
logs_f/area_20.00/log_20250329_150558/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,18,17.1640625,logs_f/area_20.00/log_20250329_150558/log.csv
logs_f/area_20.00/log_20250329_145911/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,15,15.9296875,logs_f/area_20.00/log_20250329_145911/log.csv
logs_f/area_20.00/log_20250329_143139/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,16.40625,logs_f/area_20.00/log_20250329_143139/log.csv
logs_f/area_20.00/log_20250329_144851/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,18,15.8125,logs_f/area_20.00/log_20250329_144851/log.csv
logs_f/area_20.00/log_20250329_142957/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,16,14.9921875,logs_f/area_20.00/log_20250329_142957/log.csv
logs_f/area_20.00/log_20250329_145035/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,16,15.5,logs_f/area_20.00/log_20250329_145035/log.csv
logs_f/area_20.00/log_20250329_151247/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,15,17.1640625,logs_f/area_20.00/log_20250329_151247/log.csv
logs_f/area_20.00/log_20250329_143321/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,15,15.6953125,logs_f/area_20.00/log_20250329_143321/log.csv
logs_f/area_20.00/log_20250329_145403/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,16,15.3203125,logs_f/area_20.00/log_20250329_145403/log.csv
logs_f/area_20.00/log_20250329_144524/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,18,16.8125,logs_f/area_20.00/log_20250329_144524/log.csv
logs_f/area_20.00/log_20250329_150054/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,16.1015625,logs_f/area_20.00/log_20250329_150054/log.csv
logs_f/area_20.00/log_20250329_150921/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,18,15.6640625,logs_f/area_20.00/log_20250329_150921/log.csv
logs_f/area_20.00/log_20250329_151105/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,22,19.34375,logs_f/area_20.00/log_20250329_151105/log.csv
logs_f/area_20.00/log_20250329_144341/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,18,15.609375,logs_f/area_20.00/log_20250329_144341/log.csv
logs_f/area_20.00/log_20250329_150418/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,18,16.0859375,logs_f/area_20.00/log_20250329_150418/log.csv
logs_f/area_20.00/log_20250329_144709/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,15.3203125,logs_f/area_20.00/log_20250329_144709/log.csv
logs_f/area_20.00/log_20250329_145543/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,16,15.515625,logs_f/area_20.00/log_20250329_145543/log.csv
logs_f/area_20.00/log_20250329_144014/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,15.7109375,logs_f/area_20.00/log_20250329_144014/log.csv
logs_f/area_20.00/log_20250329_151427/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,15,16.09375,logs_f/area_20.00/log_20250329_151427/log.csv
logs_f/area_20.00/log_20250329_150740/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,15.65625,logs_f/area_20.00/log_20250329_150740/log.csv
logs_f/area_20.00/log_20250329_145726/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,16,15.6796875,logs_f/area_20.00/log_20250329_145726/log.csv
logs_f/area_20.00/log_20250329_151751/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,13,15.4296875,logs_f/area_20.00/log_20250329_151751/log.csv
logs_f/area_20.00/log_20250329_150236/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,17,17.1875,logs_f/area_20.00/log_20250329_150236/log.csv
logs_f/area_20.00/log_20250329_143503/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,20.0,,1000,20,16.5859375,logs_f/area_20.00/log_20250329_143503/log.csv
logs_f/area_0.18/log_20250329_143830/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,62,0.1796875,logs_f/area_0.18/log_20250329_143830/log.csv
logs_f/area_0.18/log_20250329_150521/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.13671875,logs_f/area_0.18/log_20250329_150521/log.csv
logs_f/area_0.18/log_20250329_145527/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.171875,logs_f/area_0.18/log_20250329_145527/log.csv
logs_f/area_0.18/log_20250329_144839/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,59,0.16796875,logs_f/area_0.18/log_20250329_144839/log.csv
logs_f/area_0.18/log_20250329_151654/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.17578125,logs_f/area_0.18/log_20250329_151654/log.csv
logs_f/area_0.18/log_20250329_144152/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,62,0.1796875,logs_f/area_0.18/log_20250329_144152/log.csv
logs_f/area_0.18/log_20250329_142957/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.171875,logs_f/area_0.18/log_20250329_142957/log.csv
logs_f/area_0.18/log_20250329_143319/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.1796875,logs_f/area_0.18/log_20250329_143319/log.csv
logs_f/area_0.18/log_20250329_151018/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,62,0.171875,logs_f/area_0.18/log_20250329_151018/log.csv
logs_f/area_0.18/log_20250329_145706/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.15625,logs_f/area_0.18/log_20250329_145706/log.csv
logs_f/area_0.18/log_20250329_144013/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,59,0.1796875,logs_f/area_0.18/log_20250329_144013/log.csv
logs_f/area_0.18/log_20250329_151836/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,62,0.15625,logs_f/area_0.18/log_20250329_151836/log.csv
logs_f/area_0.18/log_20250329_143647/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.1484375,logs_f/area_0.18/log_20250329_143647/log.csv
logs_f/area_0.18/log_20250329_151514/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.171875,logs_f/area_0.18/log_20250329_151514/log.csv
logs_f/area_0.18/log_20250329_143136/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.17578125,logs_f/area_0.18/log_20250329_143136/log.csv
logs_f/area_0.18/log_20250329_150027/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,59,0.1796875,logs_f/area_0.18/log_20250329_150027/log.csv
logs_f/area_0.18/log_20250329_144336/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.171875,logs_f/area_0.18/log_20250329_144336/log.csv
logs_f/area_0.18/log_20250329_145206/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.12109375,logs_f/area_0.18/log_20250329_145206/log.csv
logs_f/area_0.18/log_20250329_151334/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.1640625,logs_f/area_0.18/log_20250329_151334/log.csv
logs_f/area_0.18/log_20250329_150657/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.1796875,logs_f/area_0.18/log_20250329_150657/log.csv
logs_f/area_0.18/log_20250329_150343/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.14453125,logs_f/area_0.18/log_20250329_150343/log.csv
logs_f/area_0.18/log_20250329_145025/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,62,0.1640625,logs_f/area_0.18/log_20250329_145025/log.csv
logs_f/area_0.18/log_20250329_151155/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.1484375,logs_f/area_0.18/log_20250329_151155/log.csv
logs_f/area_0.18/log_20250329_150837/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.14453125,logs_f/area_0.18/log_20250329_150837/log.csv
logs_f/area_0.18/log_20250329_144518/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,59,0.171875,logs_f/area_0.18/log_20250329_144518/log.csv
logs_f/area_0.18/log_20250329_145348/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,62,0.15625,logs_f/area_0.18/log_20250329_145348/log.csv
logs_f/area_0.18/log_20250329_144659/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,59,0.16796875,logs_f/area_0.18/log_20250329_144659/log.csv
logs_f/area_0.18/log_20250329_150205/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,60,0.16015625,logs_f/area_0.18/log_20250329_150205/log.csv
logs_f/area_0.18/log_20250329_143505/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,61,0.15625,logs_f/area_0.18/log_20250329_143505/log.csv
logs_f/area_0.18/log_20250329_145846/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.18,,1000,62,0.1796875,logs_f/area_0.18/log_20250329_145846/log.csv
logs_f/area_0.10/log_20250329_150841/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.09375,logs_f/area_0.10/log_20250329_150841/log.csv
logs_f/area_0.10/log_20250329_150521/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.08984375,logs_f/area_0.10/log_20250329_150521/log.csv
logs_f/area_0.10/log_20250329_151338/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.0625,logs_f/area_0.10/log_20250329_151338/log.csv
logs_f/area_0.10/log_20250329_144004/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.09375,logs_f/area_0.10/log_20250329_144004/log.csv
logs_f/area_0.10/log_20250329_143316/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.03125,logs_f/area_0.10/log_20250329_143316/log.csv
logs_f/area_0.10/log_20250329_151159/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.0625,logs_f/area_0.10/log_20250329_151159/log.csv
logs_f/area_0.10/log_20250329_145702/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.046875,logs_f/area_0.10/log_20250329_145702/log.csv
logs_f/area_0.10/log_20250329_151654/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.0625,logs_f/area_0.10/log_20250329_151654/log.csv
logs_f/area_0.10/log_20250329_150023/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.0625,logs_f/area_0.10/log_20250329_150023/log.csv
logs_f/area_0.10/log_20250329_145522/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.0625,logs_f/area_0.10/log_20250329_145522/log.csv
logs_f/area_0.10/log_20250329_142957/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.0625,logs_f/area_0.10/log_20250329_142957/log.csv
logs_f/area_0.10/log_20250329_143821/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.0859375,logs_f/area_0.10/log_20250329_143821/log.csv
logs_f/area_0.10/log_20250329_143459/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.0859375,logs_f/area_0.10/log_20250329_143459/log.csv
logs_f/area_0.10/log_20250329_145843/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.06640625,logs_f/area_0.10/log_20250329_145843/log.csv
logs_f/area_0.10/log_20250329_144327/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.05078125,logs_f/area_0.10/log_20250329_144327/log.csv
logs_f/area_0.10/log_20250329_150704/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.0625,logs_f/area_0.10/log_20250329_150704/log.csv
logs_f/area_0.10/log_20250329_144146/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.08203125,logs_f/area_0.10/log_20250329_144146/log.csv
logs_f/area_0.10/log_20250329_143137/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.078125,logs_f/area_0.10/log_20250329_143137/log.csv
logs_f/area_0.10/log_20250329_151019/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.08203125,logs_f/area_0.10/log_20250329_151019/log.csv
logs_f/area_0.10/log_20250329_145013/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.0625,logs_f/area_0.10/log_20250329_145013/log.csv
logs_f/area_0.10/log_20250329_144509/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.0625,logs_f/area_0.10/log_20250329_144509/log.csv
logs_f/area_0.10/log_20250329_151517/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.0625,logs_f/area_0.10/log_20250329_151517/log.csv
logs_f/area_0.10/log_20250329_150343/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,61,0.09765625,logs_f/area_0.10/log_20250329_150343/log.csv
logs_f/area_0.10/log_20250329_151832/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,64,0.03125,logs_f/area_0.10/log_20250329_151832/log.csv
logs_f/area_0.10/log_20250329_144652/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,62,0.08203125,logs_f/area_0.10/log_20250329_144652/log.csv
logs_f/area_0.10/log_20250329_143640/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.08203125,logs_f/area_0.10/log_20250329_143640/log.csv
logs_f/area_0.10/log_20250329_144832/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.0703125,logs_f/area_0.10/log_20250329_144832/log.csv
logs_f/area_0.10/log_20250329_150204/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,64,0.05859375,logs_f/area_0.10/log_20250329_150204/log.csv
logs_f/area_0.10/log_20250329_145157/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.09375,logs_f/area_0.10/log_20250329_145157/log.csv
logs_f/area_0.10/log_20250329_145341/metadata.json,u_arrmul4.cgp,area,10,4000,0.03,0.1,,1000,63,0.09375,logs_f/area_0.10/log_20250329_145341/log.csv
logs_f/error_52/log_20250329_154017/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,24,33.390625,logs_f/error_52/log_20250329_154017/log.csv
logs_f/error_52/log_20250329_154943/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,25,32.453125,logs_f/error_52/log_20250329_154943/log.csv
logs_f/error_52/log_20250329_153304/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,26,33.4140625,logs_f/error_52/log_20250329_153304/log.csv
logs_f/error_52/log_20250329_152754/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,24,23.5078125,logs_f/error_52/log_20250329_152754/log.csv
logs_f/error_52/log_20250329_162104/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,28,34.9375,logs_f/error_52/log_20250329_162104/log.csv
logs_f/error_52/log_20250329_162257/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,25,30.6015625,logs_f/error_52/log_20250329_162257/log.csv
logs_f/error_52/log_20250329_160523/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,29,23.4375,logs_f/error_52/log_20250329_160523/log.csv
logs_f/error_52/log_20250329_155312/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,24,22.796875,logs_f/error_52/log_20250329_155312/log.csv
logs_f/error_52/log_20250329_152934/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,23,23.3125,logs_f/error_52/log_20250329_152934/log.csv
logs_f/error_52/log_20250329_154200/metadata.json,u_arrmul4.cgp,error,10,4000,0.03,52.0,5000,1000,29,19.2109375,logs_f/error_52/log_20250329_154200/log.csv
